objekt_id,groesse_m2,zimmer,alter_jahre,preis_euro
H001,63,3,35,298692.61
H002,61,2,69,254742.93
H003,57,2,4,325374.84
H004,164,5,25,701010.9
H005,174,6,57,659677.49
H006,36,1,20,173280.49
H007,143,5,19,638480.55
H008,61,2,12,357072.24
H009,126,4,33,55556R82
H010,172,7,48,673393.43
H011,55,2,46,207588.02
H012,46,1,37,195225.5
H013,55,2,12,266298.57
H014,128,5,45,561999.81
H015,88,3,9,408671.81
H016,97,4,48,404186.9
H017,104,3,28,435086.95
H018,49,2,4,227465.01
H019,115,4,8,547011.83
H020,115,4,63,526999.44
H021,136,4,58,554473.42
H022,178,6,54,733206.92
H023,184,6,28,790876.97
H024,161,6,6,718893.28
H025,63,2,20,315613.41
H026,51,2,59,187093.56
H027,170,6,70,674728.37
H028,64,2,68,248334.67
H029,103,3,43,457058.49
H030,151,6,33,668188.75
