objekt_id,groesse_m2,zimmer,alter_jahre,preis_euro
H001,63,3,35,298692.61
H002,61,2,69,254742.93
H003,57,2,4,325374.84
H004,164,5,25,701010.9
H005,174,6,57,659677.49
H006,36,1,20,173280.49
H007,143,5,19,638480.55
H008,61,2,12,357072.24
H009,126,4,33,55556R82
H010,172,7,48,673393.43
H011,55,2,46,207588.02
H012,46,1,37,195225.5
H013,55,2,12,266298.57
H014,128,5,45,561999.81
H015,88,3,9,408671.81
H016,97,4,48,404186.9
H017,104,3,28,435086.95
H018,49,2,4,227465.01
H019,115,4,8,547011.83
H020,115,4,63,526999.44
H021,136,4,58,554473.42
H022,178,6,54,733206.92
H023,184,6,28,790876.97
H024,161,6,6,718893.28
H025,63,2,20,315613.41
H026,51,2,59,187093.56
H027,170,6,70,674728.37
H028,64,2,68,248334.67
H029,103,3,43,457058.49
H030,151,6,33,668188.75
H031,163,5,64,693246.54
H032,111,3,64,407607.18
H033,190,7,47,785487.74
H034,170,5,41,664493.9
H035,160,7,46,712739.31
H036,113,4,30,459458.61
H037,180,5,10,768655.67
H038,171,5,16,682960.32
H039,156,4,21,658782.49
H040,143,4,69,613267.49
H041,86,3,51,402696.85
H042,147,4,57,585063.85
H043,65,2,8,310641.94
H044,93,3,0,483184.76
H045,53,2,7,295722.45
H046,119,5,30,587128.27
H047,106,3,27,421619.39
H048,181,6,31,749946.3
H049,156,4,24,694467.14
H050,125,4,59,526441.64
H051,48,1,12,296157.98
H052,62,2,24,316099.47
H053,172,6,54,711965.01
H054,54,2,70,241120.65
H055,60,2,69,273727.44
H056,95,4,62,326969.73
H057,158,6,51,665687.21
H058,35,1,33,170837.96
H059,151,5,62,616879.68
H060,49,2,69,215013.52
H061,50,1,7,29805R84
H062,170,6,65,688125.5
H063,55,2,8,259024.24
H064,95,3,31,396389.2
H065,183,6,10,762054.72
H066,168,6,33,728965.46
H067,87,3,40,381546.39
H068,111,4,9,542935.95
H069,37,1,12,231419.79
H070,102,4,44,446912.56
H071,52,1,47,218493.21
H072,174,5,67,710694.32
H073,37,1,70,128935.14
H074,69,2,13,377946.48
H075,176,7,36,710187.24
H076,87,3,33,361046.44
H077,164,5,6,745685.6
H078,105,4,42,467855.19
H079,68,2,33,325897.47
H080,144,5,14,663790.1
