lernender_id,thema,versuche,hilfen,bearbeitungszeit_min,punkte,loesungsquote,empfehlung
L001,Bedingungen,1,0,42,10,1.0,Vertiefung
L002,Schleifen,5,1,35,7.4,0.77,Grundlagen
L003,Funktionen,1,1,21,9.2,0.85,Vertiefung
L004,Listen,3,3,47,7.1,0.6,Uebung
L005,Bedingungen,2,0,19,9.7,0.96,Vertiefung
L006,Schleifen,6,2,34,6.4,0.55,Grundlagen
L007,Funktionen,2,1,18,9.3,0.91,Vertiefung
L008,Listen,1,1,22,10,1.0,Vertiefung
L009,Bedingungen,3,2,22,8.3,0.9,Vertiefung
L010,Schleifen,4,2,25,9.4,0.84,Vertiefung
L011,Funktionen,3,2,40,5.0,0.58,Uebung
L012,Listen,5,2,9,8.9,0.98,Grundlagen
L013,Bedingungen,2,2,24,10,1.0,Vertiefung
L014,Schleifen,3,2,35,6.7,0.63,Uebung
L015,Funktionen,4,4,20,6.5,0.73,Uebung
L016,Listen,1,0,31,7.6,0.81,Uebung
L017,Bedingungen,3,2,15,7.9,0.75,Uebung
L018,Schleifen,3,3,28,6.9,0.71,Uebung
L019,Funktionen,2,0,34,8.8,0.84,Vertiefung
L020,Listen,6,1,47,4.4,0.42,Grundlagen
L021,Bedingungen,1,1,26,10,1.0,Vertiefung
L022,Schleifen,5,2,37,4.6,0.49,Grundlagen
L023,Funktionen,5,3,18,5.7,0.54,Grundlagen
L024,Listen,6,4,29,7.6,0.83,Grundlagen
L025,Bedingungen,2,2,27,8.9,0.92,Vertiefung
L026,Schleifen,1,0,23,10,0.99,Vertiefung
L027,Funktionen,1,1,34,10,0.96,Vertiefung
L028,Listen,6,3,39,4.6,0.48,Grundlagen
L029,Bedingungen,6,0,14,6.6,0.63,Grundlagen
L030,Schleifen,6,4,37,5.7,0.58,Grundlagen
L031,Funktionen,1,1,16,10,0.93,Vertiefung
L032,Listen,5,4,28,8.3,0.8,Grundlagen
L033,Bedingungen,5,4,35,6.4,0.58,Grundlagen
L034,Schleifen,2,2,38,6.6,0.69,Uebung
L035,Funktionen,6,2,41,4.5,0.45,Grundlagen
L036,Listen,4,0,26,8.1,0.86,Vertiefung
L037,Bedingungen,5,0,16,7.9,0.83,Grundlagen
L038,Schleifen,2,2,21,9.9,1.0,Vertiefung
L039,Funktionen,5,3,34,8.2,0.86,Grundlagen
L040,Listen,4,4,9,7.9,0.72,Uebung
L041,Bedingungen,4,3,8,7.9,0.78,Uebung
L042,Schleifen,4,3,42,6.5,0.59,Uebung
L043,Funktionen,5,1,39,6.8,0.73,Grundlagen
L044,Listen,1,1,29,8.9,0.81,Uebung
L045,Bedingungen,6,1,37,8.9,0.82,Grundlagen
L046,Schleifen,5,0,33,5.7,0.53,Grundlagen
L047,Funktionen,1,1,16,10,0.98,Vertiefung
L048,Listen,3,3,28,8.0,0.84,Vertiefung
L049,Bedingungen,4,2,34,7.2,0.74,Uebung
L050,Schleifen,1,0,30,10,1.0,Vertiefung
L051,Funktionen,6,0,9,7.3,0.72,Grundlagen
L052,Listen,1,0,23,10,1.0,Vertiefung
L053,Bedingungen,5,1,37,6.0,0.52,Grundlagen
L054,Schleifen,2,2,46,10,0.98,Vertiefung
L055,Funktionen,2,1,14,6.7,0.62,Uebung
L056,Listen,5,3,33,6.8,0.67,Grundlagen
L057,Bedingungen,5,1,14,6.6,0.62,Grundlagen
L058,Schleifen,6,4,15,5.5,0.49,Grundlagen
L059,Funktionen,1,1,42,8.4,0.86,Vertiefung
L060,Listen,5,2,8,7.9,0.71,Grundlagen
