lernender_id,thema,versuche,hilfen,bearbeitungszeit_min,punkte,loesungsquote,empfehlung
L001,Bedingungen,1,0,42,10,1.0,Vertiefung
L002,Schleifen,5,1,35,7.4,0.77,Grundlagen
L003,Funktionen,1,1,21,9.2,0.85,Vertiefung
L004,Listen,3,3,47,7.1,0.6,Uebung
L005,Bedingungen,2,0,19,9.7,0.96,Vertiefung
L006,Schleifen,6,2,34,6.4,0.55,Grundlagen
L007,Funktionen,2,1,18,9.3,0.91,Vertiefung
L008,Listen,1,1,22,10,1.0,Vertiefung
L009,Bedingungen,3,2,22,8.3,0.9,Vertiefung
L010,Schleifen,4,2,25,9.4,0.84,Vertiefung
L011,Funktionen,3,2,40,5.0,0.58,Uebung
L012,Listen,5,2,9,8.9,0.98,Grundlagen
L013,Bedingungen,2,2,24,10,1.0,Vertiefung
L014,Schleifen,3,2,35,6.7,0.63,Uebung
L015,Funktionen,4,4,20,6.5,0.73,Uebung
L016,Listen,1,0,31,7.6,0.81,Uebung
L017,Bedingungen,3,2,15,7.9,0.75,Uebung
L018,Schleifen,3,3,28,6.9,0.71,Uebung
L019,Funktionen,2,0,34,8.8,0.84,Vertiefung
L020,Listen,6,1,47,4.4,0.42,Grundlagen
L021,Bedingungen,1,1,26,10,1.0,Vertiefung
L022,Schleifen,5,2,37,4.6,0.49,Grundlagen
L023,Funktionen,5,3,18,5.7,0.54,Grundlagen
L024,Listen,6,4,29,7.6,0.83,Grundlagen
L025,Bedingungen,2,2,27,8.9,0.92,Vertiefung
L026,Schleifen,1,0,23,10,0.99,Vertiefung
L027,Funktionen,1,1,34,10,0.96,Vertiefung
L028,Listen,6,3,39,4.6,0.48,Grundlagen
L029,Bedingungen,6,0,14,6.6,0.63,Grundlagen
L030,Schleifen,6,4,37,5.7,0.58,Grundlagen
L031,Funktionen,1,1,16,10,0.93,Vertiefung
L032,Listen,5,4,28,8.3,0.8,Grundlagen
L033,Bedingungen,5,4,35,6.4,0.58,Grundlagen
L034,Schleifen,2,2,38,6.6,0.69,Uebung
L035,Funktionen,6,2,41,4.5,0.45,Grundlagen
L036,Listen,4,0,26,8.1,0.86,Vertiefung
L037,Bedingungen,5,0,16,7.9,0.83,Grundlagen
L038,Schleifen,2,2,21,9.9,1.0,Vertiefung
L039,Funktionen,5,3,34,8.2,0.86,Grundlagen
L040,Listen,4,4,9,7.9,0.72,Uebung
L041,Bedingungen,4,3,8,7.9,0.78,Uebung
L042,Schleifen,4,3,42,6.5,0.59,Uebung
L043,Funktionen,5,1,39,6.8,0.73,Grundlagen
L044,Listen,1,1,29,8.9,0.81,Uebung
L045,Bedingungen,6,1,37,8.9,0.82,Grundlagen
L046,Schleifen,5,0,33,5.7,0.53,Grundlagen
L047,Funktionen,1,1,16,10,0.98,Vertiefung
L048,Listen,3,3,28,8.0,0.84,Vertiefung
L049,Bedingungen,4,2,34,7.2,0.74,Uebung
L050,Schleifen,1,0,30,10,1.0,Vertiefung
L051,Funktionen,6,0,9,7.3,0.72,Grundlagen
L052,Listen,1,0,23,10,1.0,Vertiefung
L053,Bedingungen,5,1,37,6.0,0.52,Grundlagen
L054,Schleifen,2,2,46,10,0.98,Vertiefung
L055,Funktionen,2,1,14,6.7,0.62,Uebung
L056,Listen,5,3,33,6.8,0.67,Grundlagen
L057,Bedingungen,5,1,14,6.6,0.62,Grundlagen
L058,Schleifen,6,4,15,5.5,0.49,Grundlagen
L059,Funktionen,1,1,42,8.4,0.86,Vertiefung
L060,Listen,5,2,8,7.9,0.71,Grundlagen
L061,Bedingungen,1,1,31,8.4,0.77,Uebung
L062,Schleifen,6,1,35,6.6,0.71,Grundlagen
L063,Funktionen,6,2,47,5.7,0.51,Grundlagen
L064,Listen,4,3,35,7.5,0.69,Uebung
L065,Bedingungen,3,1,13,8.2,0.87,Vertiefung
L066,Schleifen,4,4,47,5.5,0.51,Grundlagen
L067,Funktionen,4,2,19,6.2,0.62,Uebung
L068,Listen,3,2,25,9.4,0.89,Vertiefung
L069,Bedingungen,3,0,41,8.8,0.87,Vertiefung
L070,Schleifen,6,3,39,4.3,0.42,Grundlagen
L071,Funktionen,4,3,36,6.9,0.67,Uebung
L072,Listen,2,1,23,8.6,0.92,Vertiefung
L073,Bedingungen,4,4,41,4.0,0.54,Grundlagen
L074,Schleifen,5,2,30,6.3,0.59,Grundlagen
L075,Funktionen,3,1,15,8.2,0.78,Uebung
L076,Listen,6,4,19,5.8,0.66,Grundlagen
L077,Bedingungen,3,2,14,8.5,0.81,Uebung
L078,Schleifen,3,1,27,9.9,1.0,Vertiefung
L079,Funktionen,3,0,11,7.0,0.67,Uebung
L080,Listen,2,2,39,8.6,0.86,Vertiefung
L081,Bedingungen,3,3,38,6.7,0.68,Uebung
L082,Schleifen,1,1,38,10,1.0,Vertiefung
L083,Funktionen,4,0,44,7.2,0.71,Uebung
L084,Listen,2,2,27,9.6,0.98,Vertiefung
L085,Bedingungen,5,3,46,4.3,0.39,Grundlagen
L086,Schleifen,5,3,36,6.8,0.66,Grundlagen
L087,Funktionen,5,3,27,5.8,0.57,Grundlagen
L088,Listen,6,0,21,5.8,0.55,Grundlagen
L089,Bedingungen,1,0,23,10,1.0,Vertiefung
L090,Schleifen,1,1,36,9.2,0.87,Vertiefung
L091,Funktionen,1,0,26,9.8,0.9,Vertiefung
L092,Listen,4,0,22,9.9,0.95,Vertiefung
L093,Bedingungen,6,4,20,3.8,0.41,Grundlagen
L094,Schleifen,6,1,25,6.4,0.62,Grundlagen
L095,Funktionen,2,1,46,8.6,0.8,Uebung
L096,Listen,3,3,15,6.7,0.68,Uebung
L097,Bedingungen,4,2,40,5.7,0.56,Uebung
L098,Schleifen,5,0,35,6.9,0.62,Grundlagen
L099,Funktionen,1,0,22,10,0.98,Vertiefung
L100,Listen,5,4,9,7.6,0.76,Grundlagen
L101,Bedingungen,3,0,19,7.0,0.71,Uebung
L102,Schleifen,3,1,45,5.8,0.62,Uebung
L103,Funktionen,1,1,30,9.0,0.92,Vertiefung
L104,Listen,1,0,29,9.1,0.94,Vertiefung
L105,Bedingungen,6,3,43,5.5,0.55,Grundlagen
L106,Schleifen,3,2,15,9.2,0.91,Vertiefung
L107,Funktionen,5,0,42,6.4,0.64,Grundlagen
L108,Listen,5,2,47,6.0,0.53,Grundlagen
L109,Bedingungen,1,0,25,7.6,0.73,Uebung
L110,Schleifen,4,3,15,8.6,0.87,Vertiefung
L111,Funktionen,2,2,18,8.7,0.88,Vertiefung
L112,Listen,4,0,22,10,0.99,Vertiefung
L113,Bedingungen,4,0,17,6.1,0.61,Uebung
L114,Schleifen,5,2,34,8.1,0.69,Grundlagen
L115,Funktionen,2,1,43,9.2,0.95,Vertiefung
L116,Listen,5,4,16,6.5,0.62,Grundlagen
L117,Bedingungen,4,2,40,6.9,0.69,Uebung
L118,Schleifen,6,2,45,3.7,0.33,Grundlagen
L119,Funktionen,2,1,42,7.7,0.77,Uebung
L120,Listen,5,3,37,8.2,0.78,Grundlagen
L121,Bedingungen,6,1,44,3.9,0.46,Grundlagen
L122,Schleifen,4,0,28,7.9,0.71,Uebung
L123,Funktionen,4,3,17,6.6,0.66,Uebung
L124,Listen,5,4,29,7.5,0.68,Grundlagen
L125,Bedingungen,4,0,41,7.8,0.78,Uebung
L126,Schleifen,2,1,17,10,1.0,Vertiefung
L127,Funktionen,3,2,47,6.8,0.61,Uebung
L128,Listen,3,3,28,5.9,0.52,Grundlagen
L129,Bedingungen,4,4,10,6.0,0.58,Uebung
L130,Schleifen,6,2,22,5.8,0.53,Grundlagen
L131,Funktionen,1,0,36,10,1.0,Vertiefung
L132,Listen,1,0,28,10,0.96,Vertiefung
L133,Bedingungen,3,3,17,7.7,0.82,Vertiefung
L134,Schleifen,6,1,18,6.9,0.75,Grundlagen
L135,Funktionen,4,4,23,5.0,0.5,Grundlagen
L136,Listen,2,1,48,8.5,0.89,Vertiefung
L137,Bedingungen,1,1,26,9.6,0.93,Vertiefung
L138,Schleifen,4,2,45,5.8,0.7,Uebung
L139,Funktionen,6,2,37,6.0,0.57,Grundlagen
L140,Listen,4,3,14,7.1,0.77,Uebung
L141,Bedingungen,5,2,26,8.8,0.89,Grundlagen
L142,Schleifen,4,2,8,5.6,0.53,Grundlagen
L143,Funktionen,6,0,46,5.9,0.5,Grundlagen
L144,Listen,3,1,46,8.1,0.78,Uebung
L145,Bedingungen,2,2,24,8.0,0.73,Uebung
L146,Schleifen,6,1,48,6.9,0.73,Grundlagen
L147,Funktionen,1,1,36,10,1.0,Vertiefung
L148,Listen,2,0,26,8.9,0.94,Vertiefung
L149,Bedingungen,2,0,42,9.9,0.96,Vertiefung
L150,Schleifen,5,2,18,6.5,0.74,Grundlagen
L151,Funktionen,4,2,29,7.8,0.73,Uebung
L152,Listen,1,0,22,10,0.94,Vertiefung
L153,Bedingungen,4,4,31,7.6,0.79,Uebung
L154,Schleifen,3,0,37,7.2,0.78,Uebung
L155,Funktionen,3,3,48,7.6,0.75,Uebung
L156,Listen,2,1,9,7.0,0.62,Uebung
L157,Bedingungen,3,1,12,7.5,0.71,Uebung
L158,Schleifen,6,2,34,5.9,0.6,Grundlagen
L159,Funktionen,1,1,39,10,1.0,Vertiefung
L160,Listen,5,1,32,5.1,0.53,Grundlagen
L161,Bedingungen,6,4,34,3.3,0.29,Grundlagen
L162,Schleifen,4,0,39,5.6,0.48,Grundlagen
L163,Funktionen,3,0,31,9.0,0.95,Vertiefung
L164,Listen,2,1,14,10,0.99,Vertiefung
L165,Bedingungen,6,2,11,5.2,0.54,Grundlagen
L166,Schleifen,1,1,13,9.0,0.84,Vertiefung
L167,Funktionen,5,0,11,7.5,0.71,Grundlagen
L168,Listen,2,2,21,10,1.0,Vertiefung
L169,Bedingungen,2,2,21,9.1,0.88,Vertiefung
L170,Schleifen,2,2,8,8.2,0.96,Vertiefung
L171,Funktionen,2,2,24,9.0,0.88,Vertiefung
L172,Listen,1,0,8,8.9,0.96,Vertiefung
L173,Bedingungen,5,2,9,6.7,0.68,Grundlagen
L174,Schleifen,6,3,41,5.4,0.55,Grundlagen
L175,Funktionen,4,2,40,5.9,0.56,Uebung
L176,Listen,2,2,10,8.4,0.73,Uebung
L177,Bedingungen,6,4,27,2.1,0.24,Grundlagen
L178,Schleifen,1,1,33,9.3,0.94,Vertiefung
L179,Funktionen,6,3,12,6.3,0.6,Grundlagen
L180,Listen,2,0,16,9.2,0.99,Vertiefung
L181,Bedingungen,5,2,32,8.0,0.8,Grundlagen
L182,Schleifen,4,4,46,4.1,0.45,Grundlagen
