person_id,lernzeit_min,uebungen,punkte
P001,179,3,92
P002,132,1,52
P003,113,11,92
P004,80,8,78
P005,92,12,100
P006,134,4,68
P007,81,5,100
P008,140,4,47
P009,166,8,59
P010,92,7,64
P011,155,7,20
P012,71,10,17
P013,84,1,82
P014,143,6,70
P015,46,12,66
P016,51,5,10
P017,61,5,57
P018,151,3,55
P019,43,4,57
P020,109,1,53
P021,33,7,64
P022,115,4,49
P023,40,6,28
P024,27,6,12
P025,105,3,17
P026,29,5,60
P027,55,12,60
P028,134,10,0
P029,40,1,32
P030,75,3,70
P031,175,9,54
P032,48,5,30
P033,97,2,6
P034,81,7,81
P035,179,8,8
P036,48,8,76
P037,157,1,80
P038,151,10,30
P039,56,5,54
P040,20,10,45
P041,81,10,53
P042,67,11,85
P043,41,9,46
P044,37,9,69
P045,149,9,70
P046,25,7,60
P047,31,11,49
P048,115,5,95
P049,24,6,100
P050,37,6,30
P051,180,2,98
P052,168,12,96
P053,105,3,5
P054,110,9,43
P055,64,11,59
P056,142,11,23
P057,54,2,91
P058,137,1,37
P059,71,1,25
P060,30,6,39
P061,151,7,69
P062,141,5,4
P063,68,5,45
P064,32,11,42
P065,89,2,47
P066,131,7,95
P067,132,7,43
P068,67,8,88
P069,147,6,66
P070,88,2,93
P071,128,2,55
P072,174,3,69
P073,95,6,13
P074,40,6,84
P075,95,5,57
P076,174,12,54
P077,62,12,56
P078,109,8,5
P079,110,10,55
P080,90,11,7
